Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,School_id,Distance_to_school,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Recreation_centre_id,Distance_to_Recreation_centre
58574.0,-37.810808,145.178054,14 Lindsay Avenue,NUNAWADING,6200000.0,house,2015.0,3.0,1.0,2.0,4844.0,1.932,19899,1.099,31.77777777777778,0.0,hospital_070,1.39,WHITEH11028,1.234
38478.0,-37.774104,145.026801,95 Fulham Road,ALPHINGTON,10905000.0,house,2011.0,3.0,1.0,2.0,1965.0,9.646,19931,0.618,24.76923076923077,0.0,hospital_039,1.245,DAREBI11830,9.197
24188.0,-37.696908,144.975499,229 McBryde Street,FAWKNER,5400000.0,house,2012.0,4.0,1.0,2.0,1965.0,0.594,19961,1.523,38.0,0.0,hospital_139,3.039,MORELA13039,0.169
84080.0,-37.8533673,145.0007889,48 Newry Street,WINDSOR,6640000.0,house,2013.0,3.0,1.0,1.0,1025.0,7.418,19957,0.825,14.714285714285714,1.0,hospital_012,0.229,BAYSID12334,6.698
13020.0,-37.690461,144.762164,35 Chandos Street,SYDENHAM,2880000.0,house,2012.0,2.0,2.0,1.0,5410.0,10.467,22244,1.591,30.333333333333332,0.0,hospital_057,9.056,MOONEE9389,11.697
29192.0,-37.771041,144.999489,10 Lawry Street,NORTHCOTE,9815000.0,house,2011.0,3.0,1.0,1.0,4731.0,7.727,20016,0.393,21.875,0.0,hospital_035,1.166,MORELA13030,7.57
2739.0,-37.813818,144.869439,117 Roberts Street,YARRAVILLE,14416000.0,house,2016.0,3.0,1.0,2.0,3988.0,0.428,20022,1.719,23.555555555555557,0.0,hospital_056,2.734,MARIBY8448,0.425
1035.0,-37.79299,144.890783,43B Chatham Street,FOOTSCRAY,6240000.0,house,2014.0,2.0,2.0,0.0,253.0,0.34,20024,1.061,19.555555555555557,0.0,hospital_003,0.168,MARIBY8459,0.488
1954.0,-37.785285,144.877164,2/11 Spurling Street,MAIDSTONE,7650000.0,house,2009.0,2.0,2.0,1.0,1146.0,0.581,20023,1.934,21.555555555555557,0.0,hospital_056,1.181,MARIBY8484,0.146
95898.0,-37.903688,145.032275,5 Maud Street,ORMOND,18360000.0,house,2014.0,5.0,3.0,2.0,7650.0,2.669,19941,0.647,29.75,0.0,hospital_126,1.184,GLENEI11207,2.115
32112.0,-37.753879,145.017743,189 Dundas Street,PRESTON,9170000.0,house,2012.0,3.0,1.0,1.0,2110.0,7.28,20014,1.692,25.866666666666667,0.0,hospital_035,1.33,DAREBI11830,6.81
49551.0,-37.810923,145.077748,5  Kalimna Street,BALWYN,28080000.0,house,2016.0,5.0,3.0,2.0,1022.0,10.097,19893,1.54,23.818181818181817,0.0,hospital_064,2.601,WHITEH10994,9.925
17807.0,-37.698868,144.926863,88 Beatty Avenue,GLENROY,5362000.0,house,2013.0,3.0,1.0,0.0,1545.0,0.617,20031,1.055,37.81818181818182,0.0,hospital_184,5.201,MORELA13028,0.401
53807.0,-37.825848,145.008861,80 Bunting Street,RICHMOND,2610000.0,house,2016.0,2.0,1.0,0.0,78.0,10.297,19906,0.223,12.0,0.0,hospital_122,0.796,MARIBY8453,9.723
64998.0,-37.786815,145.270824,9a Broughton Avenue,CROYDON,5130000.0,house,2015.0,4.0,1.0,2.0,1747.0,3.609,19878,1.289,45.90909090909091,0.0,hospital_164,2.689,MANNIN10996,4.781
84780.0,-37.878726,144.987752,22 John Street,ELWOOD,21000000.0,house,2014.0,3.0,3.0,2.0,1134.0,4.599,19955,0.729,18.75,1.0,hospital_009,1.675,BAYSID12373,3.84
